id,design_no,design,color,filename,source
01_red,1,zardosi_all_over,red,01_zardosi_all_over_red.jpg,cropped from uploaded bridal veil collection image
01_mehroon,1,zardosi_all_over,mehroon,01_zardosi_all_over_mehroon.jpg,cropped from uploaded bridal veil collection image
01_rani_pink,1,zardosi_all_over,rani_pink,01_zardosi_all_over_rani_pink.jpg,cropped from uploaded bridal veil collection image
02_red,2,gota_patti_all_over,red,02_gota_patti_all_over_red.jpg,cropped from uploaded bridal veil collection image
02_mehroon,2,gota_patti_all_over,mehroon,02_gota_patti_all_over_mehroon.jpg,cropped from uploaded bridal veil collection image
02_rani_pink,2,gota_patti_all_over,rani_pink,02_gota_patti_all_over_rani_pink.jpg,cropped from uploaded bridal veil collection image
03_red,3,mirror_work_shisha,red,03_mirror_work_shisha_red.jpg,cropped from uploaded bridal veil collection image
03_mehroon,3,mirror_work_shisha,mehroon,03_mirror_work_shisha_mehroon.jpg,cropped from uploaded bridal veil collection image
03_rani_pink,3,mirror_work_shisha,rani_pink,03_mirror_work_shisha_rani_pink.jpg,cropped from uploaded bridal veil collection image
04_red,4,sequin_scatter,red,04_sequin_scatter_red.jpg,cropped from uploaded bridal veil collection image
04_mehroon,4,sequin_scatter,mehroon,04_sequin_scatter_mehroon.jpg,cropped from uploaded bridal veil collection image
04_rani_pink,4,sequin_scatter,rani_pink,04_sequin_scatter_rani_pink.jpg,cropped from uploaded bridal veil collection image
05_red,5,zardosi_gota_patti,red,05_zardosi_gota_patti_red.jpg,cropped from uploaded bridal veil collection image
05_mehroon,5,zardosi_gota_patti,mehroon,05_zardosi_gota_patti_mehroon.jpg,cropped from uploaded bridal veil collection image
05_rani_pink,5,zardosi_gota_patti,rani_pink,05_zardosi_gota_patti_rani_pink.jpg,cropped from uploaded bridal veil collection image
06_red,6,zardosi_mirror_work,red,06_zardosi_mirror_work_red.jpg,cropped from uploaded bridal veil collection image
06_mehroon,6,zardosi_mirror_work,mehroon,06_zardosi_mirror_work_mehroon.jpg,cropped from uploaded bridal veil collection image
06_rani_pink,6,zardosi_mirror_work,rani_pink,06_zardosi_mirror_work_rani_pink.jpg,cropped from uploaded bridal veil collection image
07_red,7,gota_patti_mirror_work,red,07_gota_patti_mirror_work_red.jpg,cropped from uploaded bridal veil collection image
07_mehroon,7,gota_patti_mirror_work,mehroon,07_gota_patti_mirror_work_mehroon.jpg,cropped from uploaded bridal veil collection image
07_rani_pink,7,gota_patti_mirror_work,rani_pink,07_gota_patti_mirror_work_rani_pink.jpg,cropped from uploaded bridal veil collection image
08_red,8,sequin_gota_patti,red,08_sequin_gota_patti_red.jpg,cropped from uploaded bridal veil collection image
08_mehroon,8,sequin_gota_patti,mehroon,08_sequin_gota_patti_mehroon.jpg,cropped from uploaded bridal veil collection image
08_rani_pink,8,sequin_gota_patti,rani_pink,08_sequin_gota_patti_rani_pink.jpg,cropped from uploaded bridal veil collection image
09_red,9,zardosi_sequin,red,09_zardosi_sequin_red.jpg,cropped from uploaded bridal veil collection image
09_mehroon,9,zardosi_sequin,mehroon,09_zardosi_sequin_mehroon.jpg,cropped from uploaded bridal veil collection image
09_rani_pink,9,zardosi_sequin,rani_pink,09_zardosi_sequin_rani_pink.jpg,cropped from uploaded bridal veil collection image
10_red,10,mirror_sequin,red,10_mirror_sequin_red.jpg,cropped from uploaded bridal veil collection image
10_mehroon,10,mirror_sequin,mehroon,10_mirror_sequin_mehroon.jpg,cropped from uploaded bridal veil collection image
10_rani_pink,10,mirror_sequin,rani_pink,10_mirror_sequin_rani_pink.jpg,cropped from uploaded bridal veil collection image
11_red,11,gota_kinari_gold_border,red,11_gota_kinari_gold_border_red.jpg,cropped from uploaded bridal veil collection image
11_mehroon,11,gota_kinari_gold_border,mehroon,11_gota_kinari_gold_border_mehroon.jpg,cropped from uploaded bridal veil collection image
11_rani_pink,11,gota_kinari_gold_border,rani_pink,11_gota_kinari_gold_border_rani_pink.jpg,cropped from uploaded bridal veil collection image
12_red,12,gota_kinari_silver_border,red,12_gota_kinari_silver_border_red.jpg,cropped from uploaded bridal veil collection image
12_mehroon,12,gota_kinari_silver_border,mehroon,12_gota_kinari_silver_border_mehroon.jpg,cropped from uploaded bridal veil collection image
12_rani_pink,12,gota_kinari_silver_border,rani_pink,12_gota_kinari_silver_border_rani_pink.jpg,cropped from uploaded bridal veil collection image
13_red,13,zardosi_border,red,13_zardosi_border_red.jpg,cropped from uploaded bridal veil collection image
13_mehroon,13,zardosi_border,mehroon,13_zardosi_border_mehroon.jpg,cropped from uploaded bridal veil collection image
13_rani_pink,13,zardosi_border,rani_pink,13_zardosi_border_rani_pink.jpg,cropped from uploaded bridal veil collection image
14_red,14,pearl_scalloped_border,red,14_pearl_scalloped_border_red.jpg,cropped from uploaded bridal veil collection image
14_mehroon,14,pearl_scalloped_border,mehroon,14_pearl_scalloped_border_mehroon.jpg,cropped from uploaded bridal veil collection image
14_rani_pink,14,pearl_scalloped_border,rani_pink,14_pearl_scalloped_border_rani_pink.jpg,cropped from uploaded bridal veil collection image
15_red,15,sequin_scalloped_border,red,15_sequin_scalloped_border_red.jpg,cropped from uploaded bridal veil collection image
15_mehroon,15,sequin_scalloped_border,mehroon,15_sequin_scalloped_border_mehroon.jpg,cropped from uploaded bridal veil collection image
15_rani_pink,15,sequin_scalloped_border,rani_pink,15_sequin_scalloped_border_rani_pink.jpg,cropped from uploaded bridal veil collection image
